,Compound Key,Smiles,SMILES,doi,Document ChEMBL ID,WT,L858R,L858R/T790M,L858R/T790M/C797S
323,9,C=CC(=O)Nc1cc(Nc2nc(OC)cc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2nc(OC)cc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.ejmech.2017.04.036,CHEMBL4052618,1,1,1,-1
324,22a,C=CC(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccccc45)n2)CSCC3)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccccc45)n2)CSCC3)c(OC)cc1N(C)CCN(C)C,10.1016/j.ejmech.2019.111809,CHEMBL4312015,1,1,1,-1
325,24a,C=CC(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.ejmech.2018.11.069,CHEMBL4411272,0,0,0,0
326,23,C=CC(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,10.1021/jm500973a,CHEMBL3351341,1,1,1,-1
327,Mobocertinib,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,10.1021/acs.jmedchem.2c01041,CHEMBL5150044,1,1,1,0
328,26,C=CC(=O)Nc1cc(Nc2ncc(C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc(C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,10.1021/jm500973a,CHEMBL3351341,1,1,1,-1
329,25,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,10.1021/jm500973a,CHEMBL3351341,1,1,1,-1
330,58,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)c(OC)cc1N1CCN(C)CC1,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)c(OC)cc1N1CCN(C)CC1,10.1021/jm400822z,CHEMBL2424560,1,1,1,-1
331,24,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,10.1021/jm500973a,CHEMBL3351341,1,1,1,-1
332,8n,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cn(C4CC4)c4ccccc34)n2)c(OC)cc1[S+]([O-])CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cn(C4CC4)c4ccccc34)n2)c(OC)cc1[S+]([O-])CCN(C)C,10.1016/j.ejmech.2020.113019,CHEMBL4706659,1,1,1,-1
333,8m,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cn(C4CC4)c4ccccc34)n2)c(OC)cc1SCCN(C)C,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cn(C4CC4)c4ccccc34)n2)c(OC)cc1SCCN(C)C,10.1016/j.ejmech.2020.113019,CHEMBL4706659,1,1,1,-1
334,21,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,10.1021/jm500973a,CHEMBL3351341,1,1,1,-1
335,22,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC(N(C)C)C1,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC(N(C)C)C1,10.1021/jm500973a,CHEMBL3351341,1,1,1,-1
336,20,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC[C@@H](N(C)C)C1,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC[C@@H](N(C)C)C1,10.1021/jm500973a,CHEMBL3351341,1,1,1,-1
337,10d,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC[C@H](N(C)C)C1,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC[C@H](N(C)C)C1,10.1021/acs.jmedchem.5b00840,CHEMBL4425085,1,1,1,-1
338,19,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C(=O)[C@@H](C)N)CC1,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C(=O)[C@@H](C)N)CC1,10.1021/jm500973a,CHEMBL3351341,0,1,1,-1
339,14,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C(=O)[C@@H]2CCCCN2)CC1,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C(=O)[C@@H]2CCCCN2)CC1,10.1021/jm500973a,CHEMBL3351341,0,1,1,-1
340,13,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C(=O)[C@H](C)N)CC1,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C(=O)[C@H](C)N)CC1,10.1021/jm500973a,CHEMBL3351341,0,1,1,-1
341,17,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C(=O)[C@H](C)O)CC1,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C(=O)[C@H](C)O)CC1,10.1021/jm500973a,CHEMBL3351341,0,1,1,-1
342,15,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C(=O)[C@H]2CCCCN2)CC1,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C(=O)[C@H]2CCCCN2)CC1,10.1021/jm500973a,CHEMBL3351341,0,1,1,-1
343,10c,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C(=O)C2CCCCN2)CC1,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C(=O)C2CCCCN2)CC1,10.1021/acs.jmedchem.5b00840,CHEMBL4425085,0,1,1,-1
344,12,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C(=O)CN(C)C)CC1,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C(=O)CN(C)C)CC1,10.1021/jm500973a,CHEMBL3351341,0,1,1,-1
345,16,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C(=O)CNC)CC1,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C(=O)CNC)CC1,10.1021/jm500973a,CHEMBL3351341,0,1,1,-1
346,18,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C(=O)N2CCNCC2)CC1,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C(=O)N2CCNCC2)CC1,10.1021/jm500973a,CHEMBL3351341,0,1,1,-1
347,56,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C)CC1,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C)CC1,10.1021/jm400822z,CHEMBL2424560,0,1,1,-1
348,A11,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(N3CCc4sccc4C3)n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(N3CCc4sccc4C3)n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.ejmech.2021.113845,CHEMBL5036341,1,1,1,-1
349,A13,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(N3CCc4sccc4C3)n2)c(OC)cc1N1CCN(C)CC1,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(N3CCc4sccc4C3)n2)c(OC)cc1N1CCN(C)CC1,10.1016/j.ejmech.2021.113845,CHEMBL5036341,0,1,1,1
350,7g,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(Nc3ccccc3P(C)(C)=O)n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(Nc3ccccc3P(C)(C)=O)n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.ejmech.2017.04.079,CHEMBL4382192,1,1,1,-1
351,7c,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.ejmech.2017.04.079,CHEMBL4382192,1,1,1,-1
352,7k,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)N(C)C)n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)N(C)C)n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.ejmech.2017.04.079,CHEMBL4382192,1,1,1,-1
353,7f,C=CC(=O)Nc1cc(Nc2ncc(F)c(Nc3ccccc3P(C)(C)=O)n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc(F)c(Nc3ccccc3P(C)(C)=O)n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.ejmech.2017.04.079,CHEMBL4382192,1,1,1,-1
354,7b,C=CC(=O)Nc1cc(Nc2ncc(F)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc(F)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.ejmech.2017.04.079,CHEMBL4382192,1,1,1,-1
355,7j,C=CC(=O)Nc1cc(Nc2ncc(F)c(Nc3ccccc3S(=O)(=O)N(C)C)n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc(F)c(Nc3ccccc3S(=O)(=O)N(C)C)n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.ejmech.2017.04.079,CHEMBL4382192,1,1,1,-1
356,7h,C=CC(=O)Nc1cc(Nc2ncc(I)c(Nc3ccccc3P(C)(C)=O)n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc(I)c(Nc3ccccc3P(C)(C)=O)n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.ejmech.2017.04.079,CHEMBL4382192,1,1,1,-1
357,7d,C=CC(=O)Nc1cc(Nc2ncc(I)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc(I)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.ejmech.2017.04.079,CHEMBL4382192,1,1,1,-1
358,7l,C=CC(=O)Nc1cc(Nc2ncc(I)c(Nc3ccccc3S(=O)(=O)N(C)C)n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc(I)c(Nc3ccccc3S(=O)(=O)N(C)C)n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.ejmech.2017.04.079,CHEMBL4382192,1,1,1,-1
359,22b,C=CC(=O)Nc1cc(Nc2ncc3[nH]c(=O)n(-c4ccc(C(=O)CC)cc4)c3n2)c(OC)cc1N1CCN(C)CC1,C=CC(=O)Nc1cc(Nc2ncc3[nH]c(=O)n(-c4ccc(C(=O)CC)cc4)c3n2)c(OC)cc1N1CCN(C)CC1,10.1016/j.bmc.2018.02.029,CHEMBL4219100,0,0,0,0
360,22d,C=CC(=O)Nc1cc(Nc2ncc3[nH]c(=O)n(-c4ccc(C(=O)CC)cc4)c3n2)c(OC)cc1N1CCOCC1,C=CC(=O)Nc1cc(Nc2ncc3[nH]c(=O)n(-c4ccc(C(=O)CC)cc4)c3n2)c(OC)cc1N1CCOCC1,10.1016/j.bmc.2018.02.029,CHEMBL4219100,0,0,0,0
361,22a,C=CC(=O)Nc1cc(Nc2ncc3[nH]c(=O)n(-c4ccc(I)cc4)c3n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc3[nH]c(=O)n(-c4ccc(I)cc4)c3n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.bmc.2018.02.029,CHEMBL4219100,0,1,1,-1
362,22c,C=CC(=O)Nc1cc(Nc2ncc3[nH]c(=O)n(-c4ccc(I)cc4)c3n2)c(OC)cc1N1CCN(C)CC1,C=CC(=O)Nc1cc(Nc2ncc3[nH]c(=O)n(-c4ccc(I)cc4)c3n2)c(OC)cc1N1CCN(C)CC1,10.1016/j.bmc.2018.02.029,CHEMBL4219100,1,0,0,0
363,22e,C=CC(=O)Nc1cc(Nc2ncc3[nH]c(=O)n(-c4ccc(I)cc4)c3n2)c(OC)cc1N1CCOCC1,C=CC(=O)Nc1cc(Nc2ncc3[nH]c(=O)n(-c4ccc(I)cc4)c3n2)c(OC)cc1N1CCOCC1,10.1016/j.bmc.2018.02.029,CHEMBL4219100,0,0,0,0
364,23b,C=CC(=O)Nc1cc(Nc2ncc3nc(Nc4ccccc4)n(C(C)C)c3n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc3nc(Nc4ccccc4)n(C(C)C)c3n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.bmc.2018.02.029,CHEMBL4219100,0,1,1,-1
365,23a,C=CC(=O)Nc1cc(Nc2ncc3nc(Nc4ccccc4)n(C)c3n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc3nc(Nc4ccccc4)n(C)c3n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.bmc.2018.02.029,CHEMBL4219100,0,1,1,-1
366,23c,C=CC(=O)Nc1cc(Nc2ncc3nc(Nc4ccccc4)n(CCCCC)c3n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc3nc(Nc4ccccc4)n(CCCCC)c3n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.bmc.2018.02.029,CHEMBL4219100,1,1,1,-1
367,21h,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(Br)cc4)c3n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(Br)cc4)c3n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.bmc.2018.02.029,CHEMBL4219100,0,1,1,-1
368,21d,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(C(=O)CC)cc4)c3n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(C(=O)CC)cc4)c3n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.bmc.2018.02.029,CHEMBL4219100,0,1,1,-1
369,21q,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(C(=O)CC)cc4)c3n2)c(OC)cc1N1CCN(C)CC1,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(C(=O)CC)cc4)c3n2)c(OC)cc1N1CCN(C)CC1,10.1016/j.bmc.2018.02.029,CHEMBL4219100,0,-1,0,0
370,21s,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(C(=O)CC)cc4)c3n2)c(OC)cc1N1CCOCC1,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(C(=O)CC)cc4)c3n2)c(OC)cc1N1CCOCC1,10.1016/j.bmc.2018.02.029,CHEMBL4219100,0,0,0,0
371,21c,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(C)cc4)c3n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(C)cc4)c3n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.bmc.2018.02.029,CHEMBL4219100,1,1,1,-1
372,21e,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(CC)cc4)c3n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(CC)cc4)c3n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.bmc.2018.02.029,CHEMBL4219100,0,1,1,-1
373,21g,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(Cl)cc4)c3n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(Cl)cc4)c3n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.bmc.2018.02.029,CHEMBL4219100,0,1,1,-1
374,21m,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(Cl)cc4Cl)c3n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(Cl)cc4Cl)c3n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.bmc.2018.02.029,CHEMBL4219100,0,-1,0,0
375,21n,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(F)c(Br)c4)c3n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(F)c(Br)c4)c3n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.bmc.2018.02.029,CHEMBL4219100,0,1,1,-1
376,21o,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(F)c(Cl)c4)c3n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(F)c(Cl)c4)c3n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.bmc.2018.02.029,CHEMBL4219100,0,1,1,-1
377,21f,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(F)cc4)c3n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(F)cc4)c3n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.bmc.2018.02.029,CHEMBL4219100,1,1,1,-1
378,21i,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(I)cc4)c3n2)c(OC)cc1N(C)CCN(C)C,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(I)cc4)c3n2)c(OC)cc1N(C)CCN(C)C,10.1016/j.bmc.2018.02.029,CHEMBL4219100,0,1,1,-1
379,21r,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(I)cc4)c3n2)c(OC)cc1N1CCN(C)CC1,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(I)cc4)c3n2)c(OC)cc1N1CCN(C)CC1,10.1016/j.bmc.2018.02.029,CHEMBL4219100,0,0,0,0
380,21t,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(I)cc4)c3n2)c(OC)cc1N1CCOCC1,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(I)cc4)c3n2)c(OC)cc1N1CCOCC1,10.1016/j.bmc.2018.02.029,CHEMBL4219100,0,0,0,0
